UNITID-PK,AWLEVELC-PK,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
175120,12,R,355,R,223,R,132,R,3,R,30,R,149,R,25,R,0,R,91,R,46,R,10,R,1,R,0,R,96,R,189,R,70,R,0
175139,7,R,17,R,2,R,15,R,0,R,0,R,0,R,1,R,1,R,14,R,0,R,1,R,0,R,0,R,1,R,11,R,5,R,0
175139,9,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,R,0,R,0,R,0,R,2,R,0
175157,2,R,3,R,2,R,1,R,0,R,0,R,0,R,0,R,0,R,3,R,0,R,0,R,0,R,0,R,2,R,1,R,0,R,0
175157,3,R,82,R,41,R,41,R,0,R,0,R,1,R,2,R,0,R,72,R,5,R,2,R,0,R,0,R,68,R,12,R,1,R,1
175157,12,R,56,R,38,R,18,R,0,R,0,R,2,R,3,R,0,R,50,R,0,R,1,R,0,R,0,R,40,R,14,R,2,R,0
175227,2,R,12,R,10,R,2,Z,0,Z,0,Z,0,R,1,Z,0,R,8,R,2,R,1,Z,0,Z,0,R,7,R,4,R,1,Z,0
175227,3,R,299,R,256,R,43,R,3,R,15,R,12,R,19,R,1,R,237,R,8,R,3,R,1,Z,0,R,166,R,118,R,15,Z,0
175227,5,R,80,R,64,R,16,R,0,R,7,R,2,R,4,R,0,R,66,R,1,R,0,R,0,Z,0,R,27,R,47,R,6,Z,0
175227,12,R,17,R,14,R,3,Z,0,R,2,R,2,R,1,R,1,R,11,Z,0,Z,0,Z,0,Z,0,R,3,R,9,R,5,Z,0
175236,2,R,235,R,140,R,95,R,2,R,2,R,3,R,28,R,0,R,195,R,4,R,0,R,1,R,1,R,172,R,46,R,16,R,0
175236,3,R,597,R,190,R,407,R,2,R,12,R,24,R,36,R,0,R,498,R,18,R,7,R,0,R,13,R,366,R,166,R,52,R,0
175236,12,R,46,R,9,R,37,R,0,R,1,R,3,R,2,R,0,R,36,R,3,R,1,R,0,R,1,R,28,R,12,R,5,R,0
175263,2,R,161,R,89,R,72,R,1,R,2,R,5,R,8,R,0,R,141,R,1,R,1,R,2,R,1,R,95,R,51,R,14,R,0
175263,3,R,179,R,87,R,92,R,0,R,6,R,7,R,5,R,0,R,155,R,5,R,0,R,1,R,1,R,74,R,81,R,23,R,0
175263,12,R,96,R,52,R,44,R,0,R,3,R,0,R,10,R,0,R,77,R,3,R,3,R,0,R,2,R,37,R,41,R,16,R,0
175272,3,R,39,R,15,R,24,R,0,R,1,R,3,R,2,R,0,R,33,R,0,R,0,R,0,R,0,R,33,R,6,R,0,R,0
175272,5,R,1513,R,506,R,1007,R,5,R,32,R,57,R,66,R,1,R,1266,R,45,R,7,R,34,R,0,R,1228,R,233,R,52,R,0
175272,7,R,146,R,26,R,120,R,2,R,3,R,5,R,8,R,0,R,123,R,0,R,0,R,5,R,0,R,34,R,91,R,21,R,0
175272,9,R,29,R,1,R,28,R,0,R,0,R,1,R,0,R,0,R,26,R,0,R,2,R,0,R,0,R,0,R,18,R,11,R,0
175272,10,R,50,R,7,R,43,R,0,R,0,R,2,R,0,R,0,R,47,R,1,R,0,R,0,R,0,R,6,R,22,R,22,R,0
175281,9,R,322,R,146,R,176,R,3,R,19,R,20,R,18,R,3,R,238,R,6,R,11,R,4,R,0,R,16,R,220,R,86,R,0
175315,2,R,266,R,90,R,176,R,1,R,49,R,17,R,22,R,0,R,164,R,8,R,3,R,2,R,0,R,134,R,97,R,35,R,0
175315,3,R,1086,R,432,R,654,R,1,R,179,R,79,R,73,R,3,R,675,R,44,R,8,R,24,R,7,R,527,R,459,R,93,R,0
175315,11,R,60,R,7,R,53,R,0,R,14,R,6,R,4,R,0,R,30,R,4,R,0,R,2,R,0,R,37,R,21,R,2,R,0
175315,12,R,285,R,139,R,146,R,1,R,46,R,10,R,23,R,1,R,179,R,13,R,5,R,7,R,0,R,133,R,114,R,38,R,0
175342,3,R,22,R,4,R,18,Z,0,Z,0,R,14,Z,0,Z,0,R,8,Z,0,Z,0,Z,0,R,0,R,7,R,15,R,0,R,0
175342,5,R,565,R,183,R,382,R,1,R,2,R,504,R,4,R,0,R,13,R,0,R,0,R,41,R,0,R,418,R,97,R,50,R,0
